United States,"6,732"
Germany,"2,732"
United Kingdom,"2,143"
India,"1,044"
Japan,"1,036"
France,"1,000"
Canada,989
Brazil,983
China,927
Australia,602
Switzerland,559
Italy,516
Spain,489
Netherlands,476
Austria,408
Mexico,360
South Korea,359
Colombia,344
Russia,344
Turkey,334
Poland,301
Singapore,279
Sweden,272
Israel,270
Denmark,234
Taiwan,223
Iran,206
Belgium,144
Finland,105
Chile,104
Hong Kong,101
Argentina,92
Ukraine,92
Pakistan,85
Hungary,84
South Africa,83
New Zealand,80
Greece,74
Malaysia,72
Egypt,70
Ireland,68
Philippines,67
Portugal,67
Saudi Arabia,66
Czech Republic,64
Norway,64
Indonesia,51
Thailand,46
Cameroon,42
Morocco,39
Croatia,38
Serbia,38
Slovakia,38
United Arab Emirates,37
Romania,33
Vietnam,33
Algeria,30
Slovenia,30
Bulgaria,28
Peru,27
Luxembourg,26
Kenya,25
Venezuela,24
Latvia,22
Bolivia,21
Bangladesh,19
Malta,18
Lithuania,16
Tunisia,15
Estonia,14
Sri Lanka,14
Cyprus,13
Ethiopia,13
Puerto Rico,13
Belarus,12
Costa Rica,10
Iraq,10
Ghana,9
Nigeria,9
Uruguay,8
Georgia,7
Armenia,6
Côte d’Ivoire,6
Honduras,6
Iceland,6
Bosnia & Herzegovina,5
Ecuador,5
Guatemala,5
Kazakhstan,5
Qatar,5
Tajikistan,5
Dominican Republic,4
Jordan,4
Kuwait,4
Moldova,4
Mongolia,4
Macau,4
Mauritius,4
Azerbaijan,3
Myanmar (Burma),3
Panama,3
Trinidad & Tobago,3
Tanzania,3
Zambia,3
Bahrain,2
Benin,2
Bahamas,2
Cuba,2
Lebanon,2
Lesotho,2
Libya,2
Macedonia (FYROM),2
Mali,2
Nepal,2
Oman,2
Senegal,2
Syria,2
Uganda,2
Albania,1
Burkina Faso,1
Bermuda,1
Belize,1
Curaçao,1
Dominica,1
Faroe Islands,1
Grenada,1
Greenland,1
Guam,1
Guyana,1
Liechtenstein,1
Liberia,1
Madagascar,1
Martinique,1
Nicaragua,1
Réunion,1
Sudan,1
El Salvador,1
Swaziland,1
Turkmenistan,1
Uzbekistan,1
Kosovo,1
